STUID,经度,纬度,经济指数
286,0.111147968,0.36971156,0.338547876
287,0.111147968,0.36971156,0.338547876
288,0.111147968,0.36971156,0.338547876
289,0.111147968,0.36971156,0.338547876
290,0.111147968,0.36971156,0.338547876
291,0.111147968,0.36971156,0.338547876
292,0.111147968,0.36971156,0.338547876
293,0.111147968,0.36971156,0.338547876
294,0.111147968,0.36971156,0.338547876
295,0.111147968,0.36971156,0.338547876
296,0.111147968,0.36971156,0.338547876
297,0.111147968,0.36971156,0.338547876
298,0.111147968,0.36971156,0.338547876
299,0.111147968,0.36971156,0.338547876
300,0.111147968,0.36971156,0.338547876
301,0.111147968,0.36971156,0.338547876
302,0.111147968,0.36971156,0.338547876
303,0.111147968,0.36971156,0.338547876
304,0.111147968,0.36971156,0.338547876
305,0.111147968,0.36971156,0.338547876
306,0.111147968,0.36971156,0.338547876
307,0.111147968,0.36971156,0.338547876
308,0.111147968,0.36971156,0.338547876
309,0.111147968,0.36971156,0.338547876
310,0.111147968,0.36971156,0.338547876
311,0.111147968,0.36971156,0.338547876
312,0.111147968,0.36971156,0.338547876
313,0.111147968,0.36971156,0.338547876
314,0.111147968,0.36971156,0.338547876
315,0.111147968,0.36971156,0.338547876
316,0.111147968,0.36971156,0.338547876
317,0.111147968,0.36971156,0.338547876
318,0.111147968,0.36971156,0.338547876
319,0.111147968,0.36971156,0.338547876
320,0.111147968,0.36971156,0.338547876
321,0.111147968,0.36971156,0.338547876
322,0.111147968,0.36971156,0.338547876
323,0.111147968,0.36971156,0.338547876
324,0.111147968,0.36971156,0.338547876
325,0.111147968,0.36971156,0.338547876
326,0.111147968,0.36971156,0.338547876
327,0.111147968,0.36971156,0.338547876
328,0.111147968,0.36971156,0.338547876
329,0.111147968,0.36971156,0.338547876
330,0.111147968,0.36971156,0.338547876
331,0.111147968,0.36971156,0.338547876
332,0.111147968,0.36971156,0.338547876
333,0.111147968,0.36971156,0.338547876
334,0.111147968,0.36971156,0.338547876
335,0.111147968,0.36971156,0.338547876
336,0.111147968,0.36971156,0.338547876
337,0.111147968,0.36971156,0.338547876
338,0.111147968,0.36971156,0.338547876
339,0.111147968,0.36971156,0.338547876
340,0.111147968,0.36971156,0.338547876
341,0.111147968,0.36971156,0.338547876
342,0.111147968,0.36971156,0.338547876
343,0.111147968,0.36971156,0.338547876
344,0.111147968,0.36971156,0.338547876
345,0.111147968,0.36971156,0.338547876
346,0.111147968,0.36971156,0.338547876
347,0.111147968,0.36971156,0.338547876
348,0.111147968,0.36971156,0.338547876
349,0.111147968,0.36971156,0.338547876
350,0.111147968,0.36971156,0.338547876
351,0.111147968,0.36971156,0.338547876
352,0.111147968,0.36971156,0.338547876
353,0.111147968,0.36971156,0.338547876
354,0.111147968,0.36971156,0.338547876
355,0.111147968,0.36971156,0.338547876
356,0.111147968,0.36971156,0.338547876
357,0.111147968,0.36971156,0.338547876
358,0.111147968,0.36971156,0.338547876
359,0.111147968,0.36971156,0.338547876
360,0.111147968,0.36971156,0.338547876
361,0.111147968,0.36971156,0.338547876
362,0.111147968,0.36971156,0.338547876
